PropertyGFATotal,LargestPropertyUseTypeGFARatio,NumberofFloors,SecondLargestPropertyUseTypeGFARatio,LargestPropertyUseType,BuildingType,ThirdLargestPropertyUseTypeGFARatio,SiteEnergyUse(kBtu)
123920,1.0,5.0,0.2420916720464816,Hotel,NonResidential,0.0,8964061.0
58000,0.7413793103448276,1.0,0.0,Museum,Nonresidential COS,0.0,7338511.0
50292,0.8419828203292771,2.0,0.09941939075797343,Non-Refrigerated Warehouse,Nonresidential COS,0.09405074365704287,715446.0
207656,0.6818536425626999,7.0,0.0,Hotel,NonResidential,0.0,10735331.0
67235,1.0,2.0,0.0,K-12 School,SPS-District K-12,0.0,2364351.0
85017,0.6818401025677218,2.0,0.38675794252914125,Office,Nonresidential COS,0.1393838879282967,9146727.0
58118,1.0154169104236208,3.0,0.0,K-12 School,SPS-District K-12,0.0,1362993.0
64893,1.0,4.0,0.0,Hotel,NonResidential,0.0,6056481.0
52792,1.0509168055766025,2.0,0.0,K-12 School,SPS-District K-12,0.0,1227290.0
70762,1.0,1.0,0.0,K-12 School,SPS-District K-12,0.0,2933003.0
56456,0.6096074819328327,3.0,0.1358934391384441,Office,NonResidential,0.04375088564545841,1527917.0
179161,0.65570073844196,2.0,0.20830984421832877,Distribution Center,Nonresidential COS,0.14257009058891165,9974370.0
50000,0.81662,2.0,0.3347,Non-Refrigerated Warehouse,Nonresidential COS,0.23066,4116805.0
1172127,1.0,3.0,0.0,Other - Entertainment/Public Assembly,NonResidential,0.0,57514116.0
168449,0.8014651318796787,9.0,0.12229220713687823,Hotel,NonResidential,0.05471092140647911,13116256.0
79600,1.0,4.0,0.0,Non-Refrigerated Warehouse,NonResidential,0.0,1786986.0
241066,1.0,4.0,0.0,No information,SPS-District K-12,0.0,7870351.0
334368,0.7775863719016174,2.0,0.23448416116374773,Office,Campus,0.0,52273792.0
419848,0.7981674320230179,6.0,0.15481793410948724,Parking,NonResidential,0.03231407557020636,9477865.0
110785,0.5286184952836576,4.0,0.4379654285327436,Multifamily Housing,NonResidential,0.2693415173534323,10608788.0
116947,0.6989490965993143,7.0,0.23431982008944222,Multifamily Housing,Multifamily MR (5-9),0.10988738488375076,9689634.0
52134,1.0,4.0,0.0,Multifamily Housing,Multifamily LR (1-4),0.0,1212551.0
71714,1.0,1.0,0.0,K-12 School,SPS-District K-12,0.0,2223321.0
75397,0.8917596190829874,3.0,0.10824038091701262,Non-Refrigerated Warehouse,NonResidential,0.0,516216.0
102796,0.5375598272306316,5.0,0.3900054476827892,Senior Care Community,NonResidential,0.031431184092766254,10620628.0
208981,1.0,2.0,0.0,K-12 School,SPS-District K-12,0.0,7564604.0
51976,0.9687163306141297,6.0,0.0,Multifamily Housing,Multifamily MR (5-9),0.0,3918038.0
55653,0.9972508220581101,2.0,0.0,K-12 School,NonResidential,0.0,2003474.0
106860,1.0,16.0,0.0,Hotel,NonResidential,0.0,12087498.0
50759,0.9275005417758427,5.0,0.07249945822415729,Office,NonResidential,0.0,3045139.0
56772,1.0,2.0,0.0,Worship Facility,NonResidential,0.0,2349950.0
103000,1.0,3.0,0.0,Worship Facility,NonResidential,0.0,4864408.0
269297,1.0,3.0,0.0,K-12 School,SPS-District K-12,0.0,10281586.0
75174,1.0,3.0,0.0,K-12 School,SPS-District K-12,0.0,2654755.0
75214,1.0,3.0,0.0,K-12 School,SPS-District K-12,0.0,2295845.0
134918,1.0,3.0,0.0,K-12 School,SPS-District K-12,0.0,3773040.0
64414,1.0046573726208587,2.0,0.0,K-12 School,SPS-District K-12,0.0,2414679.0
92437,1.0,3.0,0.0,K-12 School,SPS-District K-12,0.0,4986643.0
128766,0.8523523290309554,7.0,0.09999534038488421,Other - Entertainment/Public Assembly,NonResidential,0.047652330584160414,6550618.0
107572,0.5943368162718923,9.0,0.2523240248391775,Residence Hall/Dormitory,NonResidential,0.09824117800171048,5445025.0
56617,1.0,4.0,0.0,Multifamily Housing,Multifamily LR (1-4),0.0,1912904.0
56745,0.7696360912855759,6.0,0.0,Multifamily Housing,Multifamily MR (5-9),0.0,2404644.0
67920,0.3621908127208481,4.0,0.19017962308598352,Multifamily Housing,Multifamily LR (1-4),0.06110129564193168,2886468.0
204961,1.0,3.0,0.0,K-12 School,SPS-District K-12,0.0,7971886.0
76086,1.0226585705648872,1.0,0.0,Other,NonResidential,0.0,2903161.0
190000,0.7723210526315789,5.0,0.05160526315789474,Medical Office,NonResidential,0.0,19816686.0
122309,1.0,4.0,0.0,No information,NonResidential,0.0,24060332.0
215476,1.007481111585513,3.0,0.0,Other,Campus,0.0,25377650.0
254273,1.0893803117122147,8.0,0.0,Hotel,NonResidential,0.0,27787286.0
69400,1.0,2.0,0.0,Other - Entertainment/Public Assembly,Nonresidential COS,0.0,15671253.0
62900,0.6787758346581876,1.0,0.3263116057233704,Other,NonResidential,0.04818759936406995,6366808.0
40000,0.825,4.0,0.175,Office,NonResidential,0.0,1372706.0
203504,0.7831393977513955,4.0,0.21686060224860446,Non-Refrigerated Warehouse,NonResidential,0.0,3780078.0
100734,0.7346377588500407,3.0,0.0,No information,NonResidential,0.0,10273140.0
79678,0.779487436933658,4.0,0.22051256306634204,Office,NonResidential,0.0,4829951.0
234000,0.7517735042735043,12.0,0.12762820512820514,Office,NonResidential,0.09933333333333333,19176010.0
111077,1.0,4.0,0.0,No information,NonResidential,0.0,9898724.0
369996,1.0281111147147537,25.0,0.3437658785500384,Office,NonResidential,0.0,24882924.0
693450,0.5207397793640494,10.0,0.4792602206359507,Retail Store,NonResidential,0.0,40433292.0
791396,0.805031867737517,33.0,0.16738143735879382,Office,NonResidential,0.04183746190276423,40451748.0
747747,0.7254606170268821,23.0,0.29293999173517243,Office,NonResidential,0.012486843812145017,32141070.0
63409,0.7137788011165608,10.0,0.09757289974609283,Office,NonResidential,0.0,3137206.0
204790,0.6935592558230382,17.0,0.08335367937887592,Office,NonResidential,0.07161482494262415,7546235.0
73399,0.7024210139102712,5.0,0.13591465823785065,Office,NonResidential,0.0,3655453.0
265851,0.8518079676209606,20.0,0.10988862182199803,Office,NonResidential,0.0,12943756.0
758043,0.7687228824750048,25.0,0.2520727715973896,Office,NonResidential,0.0,24641772.0
206000,0.7815533980582524,12.0,0.2487864077669903,Office,NonResidential,0.0,9273278.0
824887,0.9014107386829954,36.0,0.19532251084087882,Office,NonResidential,0.0,38400928.0
480840,0.6483154479660594,16.0,0.25654271691207053,Office,NonResidential,0.037931536477830465,17653930.0
89550,0.7226353992183138,7.0,0.11231714126186489,Office,NonResidential,0.07850362925739811,4112006.0
89355,0.9216607912260086,6.0,0.07833920877399138,Office,NonResidential,0.0,4742636.0
388934,1.0,15.0,0.0,Office,NonResidential,0.0,20309614.0
384302,0.9080592867068087,22.0,0.010879464587746095,Office,NonResidential,0.00373924673824232,9861998.0
378525,0.6256574862954891,17.0,0.22009378508685026,Office,NonResidential,0.03877947295423024,25476332.0
1323055,0.7642426051827022,47.0,0.20610027549875098,Office,NonResidential,0.028415296416248757,45074876.0
589921,0.822645744091158,41.0,0.15728716217934266,Office,NonResidential,0.01744301355605242,26208138.0
91091,0.9847185781251715,6.0,0.015281421874828468,Office,NonResidential,0.0,2373031.0
157941,0.5371499483984525,8.0,0.09751109591556341,Office,NonResidential,0.0,3157579.0
635303,0.822705071438353,29.0,0.3060508135488106,Office,NonResidential,0.013917768371942207,18350766.0
172842,0.5340715798243483,6.0,0.22758357343701183,Office,NonResidential,0.14464077018317306,41092076.0
776762,0.7802261181674696,34.0,0.19947808981386833,Office,NonResidential,0.0,30135280.0
186768,0.9773622890430909,14.0,0.18028248950569692,Office,NonResidential,0.0012850167052171678,9700372.0
1123435,0.7200950655801182,49.0,0.20673025141641482,Office,NonResidential,0.026996666473805782,47148456.0
1052469,0.7252090085313677,37.0,0.17632918404247536,Office,NonResidential,0.09831928541363213,41655852.0
617684,0.7223499394512405,42.0,0.0,No information,NonResidential,0.0,37527176.0
201480,0.8028687710939051,8.0,0.14440142942227516,Office,NonResidential,0.052729799483819735,9734582.0
310490,0.8672871912138878,14.0,0.09144899996779285,Office,Nonresidential COS,0.001932429385809527,21781324.0
199530,0.8039793514759686,8.0,0.09316894702550994,Office,Nonresidential COS,0.08760587380343808,13172813.0
372242,1.0,13.0,0.0,Office,NonResidential,0.0,15083332.0
114395,0.8442851523230911,7.0,0.0,Office,NonResidential,0.0,3098638.0
89200,1.0,2.0,0.0,Retail Store,NonResidential,0.0,6289567.0
99005,1.0,5.0,0.0,No information,NonResidential,0.0,5814165.0
135051,0.7104205078081614,6.0,0.3146959296858224,Office,NonResidential,0.0,4025787.0
220649,0.6605695017879075,5.0,0.4078876405512828,Office,NonResidential,0.0,6299357.0
93660,1.0,5.0,0.0,Self-Storage Facility,NonResidential,0.0,836348.0
413715,0.8418113919002211,18.0,0.16831393592207194,Office,NonResidential,0.0,23179128.0
381381,0.43051961162197383,11.0,0.099066288042666,Office,NonResidential,0.0,9796649.0
497513,0.7389213950188236,20.0,0.2301648399137309,Office,NonResidential,0.0,25909504.0
543876,0.7958450087887681,24.0,0.18111297428090226,Office,NonResidential,0.0,25840362.0
104197,0.40681593519966985,4.0,0.3714118448707736,Laboratory,NonResidential,0.27119782719272145,7004126.0
396626,0.714191707048958,6.0,0.28580829295104204,Office,NonResidential,0.0,20630168.0
287471,0.7092193647359212,6.0,0.0,No information,NonResidential,0.0,13010612.0
192630,0.7338732284690858,3.0,0.25021543892436277,Office,NonResidential,0.0,5240296.0
253103,0.6469856145521784,8.0,0.2572747063448477,Office,NonResidential,0.08605982544655733,22388122.0
60880,1.012910643889619,1.0,0.0,Supermarket/Grocery Store,NonResidential,0.0,13320624.0
50176,0.5793606505102041,5.0,0.16599569515306123,Office,NonResidential,0.08476163903061225,3033340.0
304346,0.9114527544308123,42.0,0.027695451886997038,Office,NonResidential,0.024702148212889276,19609472.0
128800,0.9254658385093167,1.0,0.07453416149068323,Non-Refrigerated Warehouse,NonResidential,0.0,1869575.0
321945,0.5184705462113094,8.0,0.12224137663265465,Office,NonResidential,0.06146080852319496,12745839.0
336330,0.762046204620462,22.0,0.1975143460291975,Office,NonResidential,0.022115184491422114,19854012.0
298426,0.9601643288453419,21.0,0.6626433353662214,Office,NonResidential,0.03983567115465811,30648154.0
635824,1.1299872291703363,42.0,0.0629104909534714,Office,NonResidential,0.030937806688643398,56762408.0
291940,1.0,2.0,0.0,No information,NonResidential,0.0,11541355.0
88400,0.37839366515837103,1.0,0.3350678733031674,Non-Refrigerated Warehouse,NonResidential,0.3135180995475113,6471427.0
52311,0.9771558563208503,1.0,0.0,Non-Refrigerated Warehouse,NonResidential,0.0,1113488.0
141131,0.5302236928810821,5.0,0.5076347506926189,Parking,NonResidential,0.0,2904225.0
176532,0.5862619808306709,5.0,0.3969082092765051,Office,NonResidential,0.0,6743116.0
52500,0.9408571428571428,1.0,0.11148571428571429,Non-Refrigerated Warehouse,NonResidential,0.0,3415305.0
57300,0.5061256544502618,2.0,0.49387434554973825,Non-Refrigerated Warehouse,NonResidential,0.0,4547379.0
350310,0.8713225428905826,6.0,0.07678912962804373,Office,NonResidential,0.021883474636750305,18586464.0
1400000,0.7299571428571429,55.0,0.188915,Office,NonResidential,0.08816642857142858,51625548.0
98370,1.0,6.0,0.0,Office,NonResidential,0.0,6525887.0
305548,1.0145705421079503,21.0,0.0,Hotel,NonResidential,0.0,32135246.0
1536606,0.6523487478247514,46.0,0.2453758478100437,Office,NonResidential,0.03456709136890003,55813996.0
135918,0.9452537559410821,10.0,0.0,Office,NonResidential,0.0,6474724.0
79957,0.4464149480345686,4.0,0.3717373088034819,Retail Store,NonResidential,0.0,5680701.0
127268,0.49118395826130684,4.0,0.4240736084483138,Office,NonResidential,0.03928717352358802,7758182.0
500000,0.851658,29.0,0.16001,Office,NonResidential,0.0,19150024.0
132326,0.6952979762102686,10.0,0.09529495337273099,Office,NonResidential,0.07432401795565498,6664740.0
109830,0.760129290722025,6.0,0.12018574160065555,Office,NonResidential,0.04552490212146044,7456330.0
332067,1.0,19.0,0.0,Hotel,NonResidential,0.0,35383012.0
130513,0.6695961321860657,10.0,0.24720909028219412,Office,NonResidential,0.08319477753174014,11040500.0
60660,0.688394329047148,8.0,0.07583250906693043,Office,NonResidential,0.0,2876857.0
137350,0.9065016381507098,14.0,0.0,Office,NonResidential,0.0,6578370.0
151039,1.0,15.0,0.0,No information,NonResidential,0.0,7226188.0
755000,0.8517655629139073,30.0,0.16806754966887416,Office,NonResidential,0.017777483443708608,59124384.0
63540,0.8930909663204281,4.0,0.0,Office,NonResidential,0.0,3999310.0
130893,0.6935970601942044,10.0,0.18576241663037749,Office,NonResidential,0.05075901690693926,7524880.0
79920,0.5,5.0,0.3333333333333333,Office,NonResidential,0.16666666666666666,2921368.0
137400,0.32080058224163027,4.0,0.13960698689956333,Retail Store,Campus,0.10465793304221252,13883385.0
147852,0.43841814787760736,6.0,0.2747950653356059,Parking,NonResidential,0.0881895408922436,8204897.0
267335,0.6245347597583556,4.0,0.26164550096321093,Parking,NonResidential,0.1024931266014551,7782092.0
1605578,0.8186927075483097,56.0,0.2428159827800331,Office,NonResidential,0.01914824443284599,48342560.0
794592,0.941377461640691,36.0,0.046068925939350004,Office,NonResidential,0.012553612419958922,25475474.0
456304,0.7515866615238963,21.0,0.23332252182755356,Office,NonResidential,0.0,19594950.0
115857,0.9044598082118473,12.0,0.1022294725394236,Office,NonResidential,0.004557342240865895,5543575.0
87500,0.8010285714285714,4.0,0.01910857142857143,Office,NonResidential,0.0,3925806.0
374405,0.4867856999772973,11.0,0.028159346162577956,Office,NonResidential,0.0,11924933.0
193500,0.7580826873385013,12.0,0.0,Other,NonResidential,0.0,14735023.0
102846,0.9128113879003559,11.0,0.07292456682807304,Office,NonResidential,0.0,4685346.0
52800,0.7363636363636363,4.0,0.24545454545454545,Office,NonResidential,0.0,2721954.0
258497,0.5996201116453963,10.0,0.5632328421606441,Parking,Campus,0.39923093885035416,23914744.0
861702,1.0328176098001398,8.0,0.4011850964718661,Retail Store,NonResidential,0.0,16644664.0
206950,1.0,5.0,0.0,Other,NonResidential,0.0,19645206.0
46710,1.0,9.0,0.0,Urgent Care/Clinic/Other Outpatient,NonResidential,0.0,4255322.0
266000,0.6090225563909775,3.0,0.39097744360902253,Medical Office,NonResidential,0.0,14465798.0
690158,0.39177115964750103,14.0,0.39176971070392574,Medical Office,NonResidential,0.0,18841144.0
